일자,누적(주식),누적(채권),누적(자산배분),누적(상품),누적(부동산),누적(대체투자/기타),누적(크립토)
2026-06-30,"2,553,950,766,592"," 537,857,622,016 "," 18,468,366,336 "," 52,756,881,408 "," 8,444,254,720 "," 12,206,388,224 "," 16,977,210,368 "
2026-06-29,"2,547,366,757,888"," 534,853,484,544 "," 18,475,933,696 "," 52,967,309,312 "," 8,497,798,144 "," 12,091,561,984 "," 17,206,685,696 "
2026-06-26,"2,554,887,669,248"," 531,520,815,104 "," 18,432,018,432 "," 53,477,851,136 "," 8,467,604,480 "," 11,944,394,752 "," 17,463,291,904 "
2026-06-25,"2,596,241,933,824"," 527,411,314,688 "," 18,365,425,664 "," 53,326,307,328 "," 8,415,208,960 "," 11,974,881,280 "," 18,668,304,384 "
2026-06-24,"1,532,220,933,632"," 525,627,195,392 "," 18,498,340,864 "," 54,100,066,304 "," 8,346,020,352 "," 12,225,179,648 "," 19,363,557,376 "
2026-06-23,"1,477,696,816,640"," 522,776,805,376 "," 18,406,531,072 "," 55,389,564,928 "," 7,530,984,960 "," 11,914,029,056 "," 19,817,293,824 "
2026-06-22,"1,476,141,254,144"," 520,378,875,904 "," 18,145,024,000 "," 56,248,258,560 "," 7,714,971,136 "," 11,900,778,496 "," 19,993,802,752 "
2026-06-18,"1,459,619,628,544"," 519,689,273,344 "," 18,101,172,224 "," 57,473,753,088 "," 7,223,979,520 "," 11,840,356,352 "," 20,105,066,496 "
2026-06-17,"1,508,352,198,144"," 517,247,369,216 "," 18,115,360,768 "," 56,775,229,440 "," 7,165,097,984 "," 11,748,540,416 "," 20,088,467,456 "
2026-06-16,"1,504,441,009,664"," 515,163,160,576 "," 18,073,126,912 "," 55,830,188,032 "," 7,113,974,784 "," 11,659,497,472 "," 20,168,448,000 "
2026-06-15,"1,442,035,533,312"," 513,526,628,352 "," 18,140,008,448 "," 55,801,434,112 "," 6,891,634,176 "," 11,585,875,968 "," 20,155,678,720 "
2026-06-12,"1,418,181,740,032"," 510,425,595,904 "," 17,729,030,144 "," 56,168,308,736 "," 6,728,112,640 "," 11,531,159,552 "," 20,201,451,520 "
